family                                          tot  sat unsat  unk   to  UNS
20161105-Sturm-MBO                               50    0    26    0   24    0
20161105-Sturm-MGC                                9    0     0    0    9    0
20170501-Heizmann-UltimateInvariantSynthesis     50    0     0    0   50    0
20180501-Economics-Mulligan                      50   19     4    1   26    0
2019-ezsmt                                       50    0     0    4   46    0
20200911-Pine                                    50    1     0    9   40    0
20211101-Geogebra                                50    3     2    8   37    2
20220314-Uncu                                    50   14    20    2   14    0
20240407-pPDA-Chiari-Pontiggia-Winkler           20    0     0    0   20    0
LassoRanker                                      50    0     0    4   46    0
UltimateAutomizer                                50    0     0    0   50    0
hong                                             20    0     2    0   18    0
hycomp                                           50    0    33    0   17    0
kissing                                          45   16     0    0   29    0
meti-tarski                                      70   39    21    0   10    0
zankl                                            50    4     6    0   40    0
TOTAL                                           714   96   114   28  476    2
